Start	End	Annotation	Layer	Index
0:45		Here we see a dissolve used to indicate that this is a distance in time, not necessarily an oddity of mental faculty; however, it does seem that because it is foreshadowing a place, that this could be an effect of memory rather than complete foreshadowing. 	Dissolve	
0:57		We, then, dissolve back to the present. 	Dissolve	
4:46		Through this fade out, the director seems to be referencing silent film diction surrounding the idea that a fade indicates a large amount of time going out compared to the clear-cut changes of scenes used previously. This fade is preparing us for the time distance between her getting sick and some of her restless nights that will appear right after. 	Fade	
5:01		Here is where the fade comes back in, and we begin the dreaming sequence. 	Fade	
5:03		Here we get the first case of superimposition, layering the father laying on his bed while reading over the main character's struggling sleep. This indicates that what we are seeing is a dream, and due to her frantic nature, she is showing us that she feels uneasy. This indicates that she is unhappy with her father's situation at a deeper level than intellectual, and goes to show a later theme that poverty is not just a physical issue for the main character, but a mental one. 	Superimposition	
5:14	5:27	Now, in continuation of the superimposition, we see a large hand with the word "poverty" written on it reaching down to grab the main character. This indicates, as continued with the dream or nightmarish thoughts, that she is losing control of her life due to poverty and her father's lack of a job.  	Superimposition	
5:29		Fade out	Fade	
9:49		The image dissolves, leaving the "new" and desired shoes in the new frame. This indicates the mental observation or faculty of the main character in her latest attempt at accepting her place in poverty, as she struggles to mentally accept that she continues to not have a replacement for her broken shoes. 	Graphic match	
9:56		However, the return of the dissolve to the old and broken shoes, or this type of graphic match, indicates that this, indeed, was merely a mental trick or desire of the main character's, and the return to the real world is just as cruel as she remembers. 	Graphic match	
16:43		While not a direct type of editing, this emphatic framing of the main character hints at an image much like what would be conveyed with superimposition, as it creates almost two pairs of images like we saw with the example of superimposition earlier on. We are now able to see her in two perspectives; the one in the mirror, broken and looking as if a portrait or someone who will be forgotten to history, and two, her present self, as she presents more illegible. This indicates that through all of her trials and attempts at being happy, this symbolizes a solidified defeat. 	Superimposition	
